;Andromeda - Taklampa;Pris 26;Nytt pris
PJ70F06;Oxblod RAL 8015;6052;
PJ70F13;Tallgrön RAL 6028;6052;
PJ70F15;Mattsvart RAL 7016;6052;
50300;LED E27 2700K 806lm CRI >80;134;
;;;
;PJ - Vägglampa;;
;Utvändig kabel;;
PJ71-01;Vit RAL 9010;4086;
PJ71-02;Varmgrå RAL 7032;4086;
PJ71-06;Oxblod RAL 8015;4086;
PJ71-13;Tallgrön RAL 6028;4086;
PJ71-15;Mattsvart RAL 7016;4086;
50300;LED E27 2700K 806lm CRI >80;134;
;;;
;Fast montage;;
PJ71F01;Vit RAL 9010;4428;
PJ71F02;Varmgrå RAL 7032;4428;
PJ71F06;Oxblod RAL 8015;4428;
PJ71F13;Tallgrön RAL 6028;4428;
PJ71F15;Mattsvart RAL 7016;4428;
50300;LED E27 2700K 806lm CRI >80;134;
;;;
;PJ - Vägglampa;;
;Utvändig kabel;;
PJ72-01;Vit RAL 9010;4882;
PJ72-02;Varmgrå RAL 7032;4882;
PJ72-06;Oxblod RAL 8015;4882;
PJ72-13;Tallgrön RAL 6028;4882;
PJ72-15;Mattsvart RAL 7016;4882;
50300;LED E27 2700K 806lm CRI >80;134;
;;;
;Fast montage;;
PJ72F01;Vit RAL 9010;5217;
PJ72F02;Varmgrå RAL 7032;5217;
PJ72F06;Oxblod RAL 8015;5217;
PJ72F13;Tallgrön RAL 6028;5217;
PJ72F15;Mattsvart RAL 7016;5217;
50300;LED E27 2700K 806lm CRI >80;134;
;;;
;PJ - Golvlampa;;
PJ80-01;Vit RAL 9010;7244;
PJ80-02;Varmgrå RAL 7032;7244;
PJ80-06;Oxblod RAL 8015;7244;
PJ80-13;Tallgrön RAL 6028;7244;
PJ80-15;Mattsvart RAL 7016;7244;
50300;LED E27 2700K 806lm CRI >80;134;
;;;
;Plissé - Bordslampa;;
38026-01-006;Vit textil;5891;
38026-10;Blå textil;5891;
38026-06;Röd textil;5891;
38026-03;Gul textil;5891;
38026-10-50;Pale Blue;5891;
50304-D;LED E27 2700K 380lm CRI <80;133;
;;;
;Precious - Taklampa;;
35024-90-000;Borstad mässing, Ull;4602;
50300;LED E27 2700K 806lm CRI >80;134;
;;;
;Puck - Golvlampa;;
39911-01S-000-G;Vit strukturlack RAL 9016;3894;
39911-02-000-G;Varmgrå RAL 7032;3894;
39911-15S-000-G;Svart strukturlack RAL 9005;3894;
39911-20-000-G;Krom;5690;
39911-25-000-G;Mattborstad mässing;4938;
;;;
;Puck - Taklampa;;
;3;;
36918-01S-000-G;Vit strukturlack RAL 9016;6338;
36918-20-000-G;Krom;8537;
36918-25-000-G;Mattborstad mässing;8071;
;;;
;5;;
36919-01S-000-G;Vit strukturlack RAL 9016;8239;
36919-20-000-G;Krom;11212;
36919-25-000-G;Mattborstad mässing;10508;
80100-01S-K;Vit krok för underhängande lampa (12 kilo);448;
80101-01S-K;Vit krok för underhängande lampa (30 kilo);1032;
;;;
;Puck - Vägglampa;;
30930-01S-000-G;Vit strukturlack RAL 9016;4025;
30930-20-000-G;Krom;5141;
30930-25-000-G;Mattborstad mässing;4812;
;;;
;Puck - Vägglampa;;
;Utvändig kabel;;
30911-01S-000-G;Vit strukturlack RAL 9016;2554;
30911-02-000-G;Varmgrå RAL 7032;2554;
30911-15S-000-G;Svart strukturlack RAL 9005;2554;
30911-20-000-G;Krom;3826;
30911-25-000-G;Mattborstad mässing;3273;
;;;
;Fast montage;;
30911FG01S-000;Vit strukturlack RAL 9016;2555;
30911FG02-000;Varmgrå RAL 7032;2555;
30911FG15S-000;Svart strukturlack RAL 9005;2555;
30911FG20-000;Krom;3826;
30911FG25-000;Mattborstad mässing;3272;
;;;
;Puck - Bordslampa;;
38911-01S-000-G;Vit strukturlack RAL 9016;3190;
38911-15S-000-G;Svart strukturlack RAL 9005;3190;
38911-20-000-G;Krom;4236;
38911-25-000-G;Mattborstad mässing;4047;
38911-02-000-G;Varmgrå RAL 7032;3190;
;;;
;Puck - Vägglampa;;
30914-01S-000-G;Vit strukturlack RAL 9016;4088;
30914-15S-000-G;Svart strukturlack RAL 9005;4088;
30914-20-000-G;Krom;5711;
30914-25-000-G;Mattborstad mässing;5362;
;;;
;Punkt - Tillbehör;;
;Takfäste;;
R1001-01;Vit RAL 9016;414;
R1001-15;Svart RAL 9005;414;
;;;
;Punkt - Tillbehör;;
;Takkopp;;
R1007-25;Borstad mässing;895;
R1007-15S;Svart strukturlack RAL 9005;495;
R1007-01S;Vit RAL 9016 struktur;495;
;;;
;Ranka - Taklampa;;
;5;;
36122-30S-000;Olivgrön RAL 6003 struktur;18748;
36122-88S-000;Röd RAL 3001 struktur;18748;
36122-01S-000;Vit RAL 9016 struktur;18748;
36122-72-000;Rå mässing;20900;
50339;LED E14 2700 K 350 lm CRI>90;157;
50282-L;LED E14 2700K 470lm CRI >90;115;
;;;
;7;;
36123-30S-000;Olivgrön RAL 6003 struktur;24313;
36123-88S-000;Röd RAL 3001 struktur;24313;
36123-01S-000;Vit RAL 9016 struktur;24313;
50339;LED E14 2700 K 350 lm CRI>90;157;
50282-L;LED E14 2700K 470lm CRI >90;115;
;;;
;Ray - Taklampa;;
;Medium;;
35068-72-1200;Extruderat glasrör, Detaljer i rå mässing;13453;
;;;
;Stor;;
35068-72-1500;Extruderat glasrör, Detaljer i rå mässing;14534;
;;;
;Ray - Vägglampa;;
;Medium;;
30068-25-500;Borstad mässing;5769;
30068-70-500;Förnicklad mässing;6245;
;;;
;Stor;;
30068-25-800;Borstad mässing;6245;
30068-70-800;Förnicklad mässing;6730;
;;;
;Skyline - Vägglampa;;
;Utvändig kabel;;
30861-72-000;Rå mässing;7619;
;;;
;Fast montage;;
30861F72-000;Rå mässing;7619;
;;;
;Skyline - Golvlampa;;
39861-72-000;Rå mässing;48517;
50337;LED E27 Filament 2700K 806lm CRI>90;124;
;;;
;Skyline - Taklampa;;
;Medium;;
35861-72-000;Rå mässing;34902;
50337;LED E27 Filament 2700K 806lm CRI>90;124;
;;;
;Stor;;
35860-72-000;Rå mässing;124156;
50337;LED E27 Filament 2700K 806lm CRI>90;124;
;;;
;Star - Taklampa · Vägglampa;;
;Ø60cm;;
35394-01S-000;Vit strukturlack RAL 9016;16173;
35394-15S-000;Svart strukturlack RAL 9005;16173;
35394-55-000;Rå stål;16732;
35394-69-000;Rå koppar;21213;
35394-70-000;Förnicklad mässing;25443;
35394-72-000;Rå mässing;22936;
50339;LED E14 2700 K 350 lm CRI>90;157;
50282-L;LED E14 2700K 470lm CRI >90;115;
;;;
;Ø100cm;;
35395-01S-000;Vit strukturlack RAL 9016;22933;
35395-15S-000;Svart strukturlack RAL 9005;22933;
35395-55-000;Rå stål;23669;
35395-69-000;Rå koppar;29875;
35395-70-000;Förnicklad mässing;35836;
35395-72-000;Rå mässing;32307;
50339;LED E14 2700 K 350 lm CRI>90;157;
50282-L;LED E14 2700K 470lm CRI >90;115;
;;;
;Star - Taklampa · Vägglampa;;
;3;;
35063-01S-000;Vit strukturlack RAL 9016;4707;
35063-15S-000;Svart strukturlack RAL 9005;4707;
35063-55-000;Rå stål;4795;
35063-69-000;Rå koppar;5523;
35063-70-000;Förnicklad mässing;7151;
35063-72-000;Rå mässing;5940;
50339;LED E14 2700 K 350 lm CRI>90;157;
50282-L;LED E14 2700K 470lm CRI >90;115;
PPP36-3000;Mässingsomtag med 3 meter vajer (per 2 st);824;
PPP30-3000;Kopparomtag med 3 meter vajer (per 2 st);580;
PPP35-3000;Förnicklat mässingsomtag med 3 meter vajer (per 2 st);971;
;;;
;6;;
35064-01S-000;Vit strukturlack RAL 9016;8030;
35064-15S-000;Svart strukturlack RAL 9005;8030;
35064-55-000;Rå stål;8118;
35064-69-000;Rå koppar;9701;
35064-70-000;Förnicklad mässing;12494;
35064-72-000;Rå mässing;10544;
50339;LED E14 2700 K 350 lm CRI>90;157;
50282-L;LED E14 2700K 470lm CRI >90;115;
PPP36-3000;Mässingsomtag med 3 meter vajer (per 2 st);824;
PPP30-3000;Kopparomtag med 3 meter vajer (per 2 st);580;
PPP35-3000;Förnicklat mässingsomtag med 3 meter vajer (per 2 st);971;
;;;
;Star - Taklampa · Vägglampa;;
;Fast montage;;
36397F01S-000;Vit strukturlack RAL 9016;2257;
36397F15S-000;Svart strukturlack RAL 9005;2257;
36397F55-000;Rå stål;2354;
36397F69-000;Rå koppar;2793;
